site_id,address,station_name,postcode,latitude,longitude,gp_id,brand_name,transaction_date_time,price,fuel_name,FuelId
61290151,61 Burrowes St,Liberty Surat,4417,-27.151627,149.067712,ChIJhbUB8XJVumsR1WCVwJFOMiY,Liberty,2024-06-02T23:56:20.107,1899.0,Unleaded,2.0
61290151,61 Burrowes St,Liberty Surat,4417,-27.151627,149.067712,ChIJhbUB8XJVumsR1WCVwJFOMiY,Liberty,2024-08-23T23:49:59.33,1899.0,Diesel,3.0
61290151,61 Burrowes St,Liberty Surat,4417,-27.151627,149.067712,ChIJhbUB8XJVumsR1WCVwJFOMiY,Liberty,2024-06-02T23:56:20.107,2099.0,Premium Unleaded 98,8.0
61291313,126 Barwon Street,Lowes Mungindi Opt,4497,-28.973667,148.983999,ChIJWyNloETOpWsR2iAu7eiMx30,BP,2024-10-01T22:14:33.93,1830.0,Unleaded,2.0
61291313,126 Barwon Street,Lowes Mungindi Opt,4497,-28.973667,148.983999,ChIJWyNloETOpWsR2iAu7eiMx30,BP,2024-10-11T03:45:42.3,1860.0,Diesel,3.0
61401007,Pacific Highway,7-Eleven Coomera,4209,-27.868631,153.314186,ChIJoflAeuATkWsRPZIMVJfb9yE,7 Eleven,2024-10-14T18:28:01.473,1919.0,Unleaded,2.0
61401007,Pacific Highway,7-Eleven Coomera,4209,-27.868631,153.314186,ChIJoflAeuATkWsRPZIMVJfb9yE,7 Eleven,2024-10-14T18:28:01.473,1119.0,LPG,4.0
61401007,Pacific Highway,7-Eleven Coomera,4209,-27.868631,153.314186,ChIJoflAeuATkWsRPZIMVJfb9yE,7 Eleven,2024-10-14T18:28:01.473,2129.0,Premium Unleaded 98,8.0
61401007,Pacific Highway,7-Eleven Coomera,4209,-27.868631,153.314186,ChIJoflAeuATkWsRPZIMVJfb9yE,7 Eleven,2024-10-14T18:28:01.473,1899.0,e10,12.0
61401007,Pacific Highway,7-Eleven Coomera,4209,-27.868631,153.314186,ChIJoflAeuATkWsRPZIMVJfb9yE,7 Eleven,2024-10-14T18:28:01.473,1789.0,Premium Diesel,14.0
61401008,116 Old Pacific Hwy & Cottonwood Pl,EG Ampol Oxenford,4210,-27.891187,153.313379,ChIJN7SrbEcRkWsRZ2REIeqwbD4,EG Ampol,2024-10-15T11:30:00,1929.0,Unleaded,2.0
61401008,116 Old Pacific Hwy & Cottonwood Pl,EG Ampol Oxenford,4210,-27.891187,153.313379,ChIJN7SrbEcRkWsRZ2REIeqwbD4,EG Ampol,2024-10-15T11:30:00,2079.0,Premium Unleaded 95,5.0
